year,month,country,systems_count,total_rmax,total_rpeak,average_rmax,average_power,average_efficiency,highest_rank,total_cores,total_power_kw,month_num,date,power_missing,efficiency_missing,performance_per_core,power_efficiency
1999,November,Switzerland,5,255.9,479.53,51.18,Unknown,Unknown,131,696,0,11,11/1/1999,1,1,0.367672414,Unknown
1999,November,Taiwan,1,139,144,139,Unknown,Unknown,66,15,0,11,11/1/1999,1,1,9.266666667,Unknown
1999,November,United Kingdom,24,3203.14,4759.31,133.4641667,Unknown,Unknown,11,5458,0,11,11/1/1999,1,1,0.586870649,Unknown
1999,November,United States,267,30102.56,47459.73,112.7436704,Unknown,Unknown,1,76475,0,11,11/1/1999,1,1,0.393626152,Unknown
2000,June,Australia,3,226.61,256,75.53666667,Unknown,Unknown,98,176,0,6,6/1/2000,1,1,1.287556818,Unknown
2000,June,Brazil,1,79.36,102.4,79.36,Unknown,Unknown,160,128,0,6,6/1/2000,1,1,0.62,Unknown
2000,June,Canada,9,729.38,940.57,81.04222222,Unknown,Unknown,57,856,0,6,6/1/2000,1,1,0.852079439,Unknown
2000,June,China,2,100.43,135,50.215,Unknown,Unknown,280,160,0,6,6/1/2000,1,1,0.6276875,Unknown
2000,June,Denmark,1,51.1,72,51.1,Unknown,Unknown,343,48,0,6,6/1/2000,1,1,1.064583333,Unknown
2000,June,Finland,2,346.25,481.8,173.125,Unknown,Unknown,47,668,0,6,6/1/2000,1,1,0.518338323,Unknown
2000,June,France,20,2165.66,3043.21,108.283,Unknown,Unknown,46,3063,0,6,6/1/2000,1,1,0.707038851,Unknown
2000,June,Germany,65,7119.21,11183.82,109.5263077,Unknown,Unknown,5,11056,0,6,6/1/2000,1,1,0.643922757,Unknown
2000,June,Italy,6,455.88,687.68,75.98,Unknown,Unknown,66,780,0,6,6/1/2000,1,1,0.584461538,Unknown
2000,June,Japan,62,9849.4,12004.62,158.8612903,498,0.459839357,6,11089,498,6,6/1/2000,0,0,0.888213545,19.77791165
2000,June,Luxembourg,6,299.96,358.4,49.99333333,Unknown,Unknown,153,448,0,6,6/1/2000,1,1,0.669553571,Unknown
2000,June,Netherlands,5,359.64,620.01,71.928,Unknown,Unknown,88,890,0,6,6/1/2000,1,1,0.404089888,Unknown
2000,June,Poland,1,59.04,76.8,59.04,Unknown,Unknown,242,96,0,6,6/1/2000,1,1,0.615,Unknown
2000,June,Saudi Arabia,2,244.1,354,122.05,Unknown,Unknown,83,236,0,6,6/1/2000,1,1,1.034322034,Unknown
2000,June,Singapore,1,46.2,48,46.2,Unknown,Unknown,389,6,0,6,6/1/2000,1,1,7.7,Unknown
2000,June,South Korea,4,454.87,526.8,113.7175,Unknown,Unknown,73,282,0,6,6/1/2000,1,1,1.613014184,Unknown
2000,June,Spain,2,89.14,102.4,44.57,Unknown,Unknown,455,128,0,6,6/1/2000,1,1,0.69640625,Unknown
2000,June,Sweden,5,393.7,580.48,78.74,Unknown,Unknown,115,770,0,6,6/1/2000,1,1,0.511298701,Unknown
2000,June,Switzerland,8,420.27,688.34,52.53375,Unknown,Unknown,170,852,0,6,6/1/2000,1,1,0.493274648,Unknown
2000,June,Taiwan,2,310,396,155,Unknown,Unknown,76,183,0,6,6/1/2000,1,1,1.693989071,Unknown
2000,June,United Kingdom,28,3913.43,5497.62,139.7653571,Unknown,Unknown,14,5530,0,6,6/1/2000,1,1,0.707672694,Unknown
2000,June,United States,258,36097.55,56929.76,139.9129845,Unknown,Unknown,1,77625,0,6,6/1/2000,1,1,0.465024799,Unknown
2000,November,Australia,5,629.25,784,125.85,Unknown,Unknown,77,672,0,11,11/1/2000,1,1,0.936383929,Unknown
2000,November,Austria,5,970.6,1435.3,194.12,Unknown,Unknown,53,1262,0,11,11/1/2000,1,1,0.769096672,Unknown
2000,November,Belgium,2,141.6,210.3,70.8,Unknown,Unknown,270,216,0,11,11/1/2000,1,1,0.655555556,Unknown
2000,November,Brazil,2,144.83,185.6,72.415,Unknown,Unknown,313,232,0,11,11/1/2000,1,1,0.624267241,Unknown
2000,November,Canada,8,915.5,1206.47,114.4375,Unknown,Unknown,78,1092,0,11,11/1/2000,1,1,0.838369963,Unknown
2000,November,Denmark,2,230,333,115,Unknown,Unknown,150,222,0,11,11/1/2000,1,1,1.036036036,Unknown
2000,November,Finland,4,898.25,1279.8,224.5625,Unknown,Unknown,48,1200,0,11,11/1/2000,1,1,0.748541667,Unknown
2000,November,France,28,2843.94,3797.03,101.5692857,Unknown,Unknown,65,3835,0,11,11/1/2000,1,1,0.741574967,Unknown
2000,November,Germany,55,8275.99,12592.56,150.4725455,Unknown,Unknown,7,12760,0,11,11/1/2000,1,1,0.648588558,Unknown
2000,November,Hungary,1,59.04,76.8,59.04,Unknown,Unknown,464,96,0,11,11/1/2000,1,1,0.615,Unknown
2000,November,Israel,1,71.7,89.6,71.7,Unknown,Unknown,349,112,0,11,11/1/2000,1,1,0.640178571,Unknown
2000,November,Italy,9,854.91,1180.48,94.99,Unknown,Unknown,88,1340,0,11,11/1/2000,1,1,0.637992537,Unknown
2000,November,Japan,63,11220.35,13788.18,178.1007937,498,0.459839357,9,10002,498,11,11/1/2000,0,0,1.121810638,22.53082329
2000,November,Luxembourg,2,217.2,307.2,108.6,Unknown,Unknown,134,384,0,11,11/1/2000,1,1,0.565625,Unknown
2000,November,Netherlands,14,1160.82,1493.01,82.91571429,Unknown,Unknown,154,1984,0,11,11/1/2000,1,1,0.585090726,Unknown
2000,November,Norway,1,72.57,96,72.57,Unknown,Unknown,346,160,0,11,11/1/2000,1,1,0.4535625,Unknown
2000,November,Poland,1,59.04,76.8,59.04,Unknown,Unknown,467,96,0,11,11/1/2000,1,1,0.615,Unknown
2000,November,Saudi Arabia,2,360,531,180,Unknown,Unknown,94,354,0,11,11/1/2000,1,1,1.016949153,Unknown
2000,November,South Korea,4,487.87,614.8,121.9675,Unknown,Unknown,100,410,0,11,11/1/2000,1,1,1.189926829,Unknown
2000,November,Spain,2,143.58,192,71.79,Unknown,Unknown,335,184,0,11,11/1/2000,1,1,0.780326087,Unknown
2000,November,Sweden,8,943.12,1423.04,117.89,Unknown,Unknown,44,1778,0,11,11/1/2000,1,1,0.530438695,Unknown
2000,November,Switzerland,8,545.17,796.33,68.14625,Unknown,Unknown,265,984,0,11,11/1/2000,1,1,0.554034553,Unknown
2000,November,Taiwan,2,310,396,155,Unknown,Unknown,104,183,0,11,11/1/2000,1,1,1.693989071,Unknown
2000,November,United Kingdom,34,5291.54,7090.63,155.6335294,Unknown,Unknown,12,6544,0,11,11/1/2000,1,1,0.808609413,Unknown
2000,November,United States,234,50567.18,81005.84,216.0990598,Unknown,Unknown,1,93453,0,11,11/1/2000,1,1,0.54109745,Unknown
2001,June,Australia,5,748.11,960.93,149.622,Unknown,Unknown,98,632,0,6,6/1/2001,1,1,1.183718354,Unknown
2001,June,Austria,2,185.44,246.4,92.72,Unknown,Unknown,281,224,0,6,6/1/2001,1,1,0.827857143,Unknown
2001,June,Belgium,1,84,120,84,Unknown,Unknown,375,80,0,6,6/1/2001,1,1,1.05,Unknown
2001,June,Brazil,1,80.1,102.4,80.1,Unknown,Unknown,423,128,0,6,6/1/2001,1,1,0.62578125,Unknown
2001,June,Canada,9,1182.7,1548.07,131.4111111,Unknown,Unknown,99,1420,0,6,6/1/2001,1,1,0.832887324,Unknown
2001,June,Denmark,2,230,333,115,Unknown,Unknown,189,222,0,6,6/1/2001,1,1,1.036036036,Unknown
2001,June,Finland,2,416,597,208,Unknown,Unknown,86,668,0,6,6/1/2001,1,1,0.622754491,Unknown
2001,June,France,21,2985.58,3973.08,142.1704762,Unknown,Unknown,44,3402,0,6,6/1/2001,1,1,0.877595532,Unknown
2001,June,Germany,64,9607.47,14784.59,150.1167188,Unknown,Unknown,12,14168,0,6,6/1/2001,1,1,0.678110531,Unknown
2001,June,Israel,1,71.7,89.6,71.7,Unknown,Unknown,472,112,0,6,6/1/2001,1,1,0.640178571,Unknown
2001,June,Italy,12,1237.33,1695.8,103.1108333,Unknown,Unknown,108,1518,0,6,6/1/2001,1,1,0.815105402,Unknown
2001,June,Japan,54,15887.28,19475.24,294.2088889,498,0.459839357,5,10622,498,6,6/1/2001,0,0,1.495695726,31.90216867
2001,June,Luxembourg,2,217.2,307.2,108.6,Unknown,Unknown,168,384,0,6,6/1/2001,1,1,0.565625,Unknown
2001,June,Netherlands,7,1323.7,1757.8,189.1,Unknown,Unknown,62,1898,0,6,6/1/2001,1,1,0.697418335,Unknown
2001,June,Norway,3,282.27,368.8,94.09,Unknown,Unknown,156,424,0,6,6/1/2001,1,1,0.665731132,Unknown
2001,June,Poland,1,83.3,100,83.3,Unknown,Unknown,376,100,0,6,6/1/2001,1,1,0.833,Unknown
2001,June,Portugal,1,104,150,104,Unknown,Unknown,259,100,0,6,6/1/2001,1,1,1.04,Unknown
2001,June,Saudi Arabia,2,650,912,325,Unknown,Unknown,37,608,0,6,6/1/2001,1,1,1.069078947,Unknown
2001,June,South Korea,6,700.67,928.4,116.7783333,Unknown,Unknown,112,542,0,6,6/1/2001,1,1,1.292749077,Unknown
2001,June,Spain,2,155.8,192,77.9,Unknown,Unknown,426,216,0,6,6/1/2001,1,1,0.721296296,Unknown
2001,June,Sweden,4,685.04,1075.2,171.26,Unknown,Unknown,56,1348,0,6,6/1/2001,1,1,0.508189911,Unknown
2001,June,Switzerland,6,454.47,629.77,75.745,Unknown,Unknown,369,600,0,6,6/1/2001,1,1,0.75745,Unknown
2001,June,Taiwan,4,532.9,728.8,133.225,Unknown,Unknown,128,375,0,6,6/1/2001,1,1,1.421066667,Unknown
2001,June,United Kingdom,31,5599.98,7558.4,180.6445161,Unknown,Unknown,16,6256,0,6,6/1/2001,1,1,0.895137468,Unknown
2001,June,United States,253,64020.84,99956.48,253.0467984,Unknown,Unknown,1,105988,0,6,6/1/2001,1,1,0.60403857,Unknown
2001,November,Australia,4,1206.51,1573.2,301.6275,Unknown,Unknown,31,800,0,11,11/1/2001,1,1,1.5081375,Unknown
2001,November,Austria,3,311.2,446.8,103.7333333,Unknown,Unknown,356,268,0,11,11/1/2001,1,1,1.16119403,Unknown
2001,November,Belgium,2,295.4,422.4,147.7,Unknown,Unknown,168,192,0,11,11/1/2001,1,1,1.538541667,Unknown
2001,November,Brazil,2,392.5,563.2,196.25,Unknown,Unknown,153,256,0,11,11/1/2001,1,1,1.533203125,Unknown
2001,November,Canada,11,1622.4,2181.59,147.4909091,Unknown,Unknown,123,1681,0,11,11/1/2001,1,1,0.965139798,Unknown
2001,November,China,3,395.8,563.2,131.9333333,Unknown,Unknown,150,256,0,11,11/1/2001,1,1,1.54609375,Unknown
2001,November,Denmark,2,230,333,115,Unknown,Unknown,292,222,0,11,11/1/2001,1,1,1.036036036,Unknown
2001,November,Finland,4,809.4,1160.2,202.35,Unknown,Unknown,107,924,0,11,11/1/2001,1,1,0.875974026,Unknown
2001,November,France,23,3892.4,5228.23,169.2347826,Unknown,Unknown,56,3565,0,11,11/1/2001,1,1,1.091837307,Unknown
2001,November,Germany,59,12054.08,18076.54,204.3064407,Unknown,Unknown,10,14734,0,11,11/1/2001,1,1,0.818113208,Unknown
2001,November,Italy,11,1348.43,1884.6,122.5845455,Unknown,Unknown,136,1278,0,11,11/1/2001,1,1,1.055109546,Unknown
2001,November,Japan,57,18383.52,22966.34,322.5178947,498,0.459839357,7,11896,498,11,11/1/2001,0,0,1.54535306,36.9146988
2001,November,Luxembourg,1,137.1,204.8,137.1,Unknown,Unknown,268,256,0,11,11/1/2001,1,1,0.535546875,Unknown
2001,November,Netherlands,10,1835,2503.8,183.5,Unknown,Unknown,76,2190,0,11,11/1/2001,1,1,0.837899543,Unknown
2001,November,Norway,2,240.2,316.8,120.1,Unknown,Unknown,259,284,0,11,11/1/2001,1,1,0.845774648,Unknown
2001,November,Portugal,1,301,444,301,Unknown,Unknown,99,296,0,11,11/1/2001,1,1,1.016891892,Unknown
2001,November,Russia,1,109.1,158.4,109.1,Unknown,Unknown,365,72,0,11,11/1/2001,1,1,1.515277778,Unknown
2001,November,Saudi Arabia,2,772,1080,386,Unknown,Unknown,47,720,0,11,11/1/2001,1,1,1.072222222,Unknown
2001,November,Singapore,1,99.2,140.8,99.2,Unknown,Unknown,463,64,0,11,11/1/2001,1,1,1.55,Unknown
2001,November,South Korea,16,2281.9,3224,142.61875,Unknown,Unknown,142,1612,0,11,11/1/2001,1,1,1.41557072,Unknown
2001,November,Spain,2,231.2,332.8,115.6,Unknown,Unknown,284,192,0,11,11/1/2001,1,1,1.204166667,Unknown
2001,November,Sweden,5,897.34,1396.4,179.468,Unknown,Unknown,70,1480,0,11,11/1/2001,1,1,0.606310811,Unknown
2001,November,Switzerland,2,238.9,320,119.45,Unknown,Unknown,287,256,0,11,11/1/2001,1,1,0.933203125,Unknown
2001,November,Taiwan,4,634.9,824.8,158.725,Unknown,Unknown,129,385,0,11,11/1/2001,1,1,1.649090909,Unknown
